,id,dp1,dp2,dp3,dp4,dp5,dp6,dp7,dp8,dp9,dp10,dp11,dp12,dp13,dp14,dp15,dp16,dp17,dp18,dp19,dp20,dp21,dp22,dp23,dp24,dp25,counter,date,takes
306,53,35736,35556,35361,35189,35059,34972,34908,34839,34745,34621,34475,34319,34174,34057,33982,33959,33985,34051,34140,34226,34282,34292,34259,34190,34102,2652,2022-03-06-23-56-41.449629,A1
307,53,34006,33908,33813,33726,33653,33598,33564,33542,33519,33484,33434,33377,33321,33269,33225,33188,33155,33128,33111,33104,33104,33103,33086,33046,32983,2653,2022-03-06-23-56-41.765275,A1
308,53,32899,32802,32703,32621,32584,32631,32791,33073,33449,33861,34232,34495,34615,34590,34445,34217,33944,33665,33403,33174,32983,32827,32696,32582,32476,2654,2022-03-06-23-56-42.170527,A1
309,53,32382,32307,32256,32229,32219,32218,32214,32202,32181,32151,32114,32064,31998,31912,31813,31704,31587,31460,31325,31185,31050,30934,30852,30811,30802,2655,2022-03-06-23-56-42.440911,A1
310,53,30807,30810,30801,30782,30758,30735,30720,30714,30715,30726,30749,30786,30838,30913,31033,31226,31510,31878,32299,32726,33114,33426,33646,33773,33810,2656,2022-03-06-23-56-42.802213,A1
311,53,33763,33637,33449,33230,33003,32783,32581,32398,32234,32095,31990,31934,31933,31978,32042,32096,32120,32111,32081,32050,32033,32035,32053,32076,32101,2657,2022-03-06-23-56-43.117677,A1
312,53,32122,32141,32158,32171,32176,32175,32168,32160,32149,32136,32128,32131,32152,32194,32258,32333,32403,32449,32461,32437,32391,32336,32282,32245,32248,2658,2022-03-06-23-56-43.432848,A1
313,53,32320,32490,32773,33159,33603,34035,34383,34598,34664,34594,34417,34170,33898,33642,33429,33276,33180,33124,33082,33028,32954,32868,32791,32742,32735,2659,2022-03-06-23-56-43.793319,A1
314,53,32770,32844,32949,33084,33243,33420,33598,33750,33852,33893,33872,33800,33701,33599,33514,33467,33466,33508,33574,33641,33682,33684,33644,33580,33508,2660,2022-03-06-23-56-44.165022,A1
315,53,33441,33380,33324,33271,33223,33186,33163,33150,33141,33129,33114,33119,33178,33317,33531,33797,34064,34286,34423,34465,34422,34318,34172,34004,33827,2661,2022-03-06-23-56-44.470303,A1
316,53,33657,33503,33367,33240,33119,33002,32900,32830,32806,32832,32897,32973,33033,33060,33049,33005,32939,32857,32770,32681,32597,32528,32475,32439,32410,2662,2022-03-06-23-56-44.785765,A1
317,53,32377,32329,32267,32191,32108,32023,31941,31871,31819,31792,31793,31817,31845,31860,31851,31819,31773,31736,31738,31812,31978,32234,32552,32887,33181,2663,2022-03-06-23-56-45.101034,A1
318,53,33382,33459,33410,33260,33049,32814,32588,32390,32229,32103,32006,31936,31892,31868,31861,31868,31890,31926,31970,32013,32046,32059,32054,32036,32013,2664,2022-03-06-23-56-45.461431,A1
319,53,31994,31986,31981,31971,31954,31932,31905,31875,31842,31806,31772,31744,31729,31736,31769,31820,31876,31923,31953,31969,31973,31971,31968,31972,31984,2665,2022-03-06-23-56-45.822586,A1
320,53,32008,32053,32143,32299,32535,32845,33207,33580,33912,34154,34278,34284,34194,34042,33870,33712,33588,33496,33421,33348,33267,33175,33077,32983,32903,2666,2022-03-06-23-56-46.137628,A1
321,53,32849,32831,32853,32913,33001,33096,33171,33211,33209,33173,33116,33048,32977,32906,32844,32796,32772,32768,32777,32780,32764,32729,32690,32662,32655,2667,2022-03-06-23-56-46.453714,A1
322,53,32666,32693,32731,32779,32841,32919,33001,33071,33111,33113,33081,33026,32968,32934,32960,33079,33309,33641,34040,34444,34785,35012,35107,35083,34967,2668,2022-03-06-23-56-46.769346,A1
323,53,34797,34608,34425,34263,34129,34018,33929,33857,33797,33742,33688,33638,33596,33566,33549,33546,33553,33565,33576,33588,33602,33618,33629,33625,33602,2669,2022-03-06-23-56-47.129439,A1
324,53,33561,33502,33428,33342,33250,33162,33090,33042,33027,33046,33083,33118,33132,33115,33066,32989,32892,32785,32681,32587,32513,32466,32458,32499,32597,2670,2022-03-06-23-56-47.445402,A1
325,53,32756,32964,33199,33427,33603,33688,33666,33545,33350,33117,32888,32695,32551,32447,32361,32268,32152,32006,31843,31687,31567,31501,31492,31528,31589,2671,2022-03-06-23-56-47.805535,A1
